STATE,COUNTY,DISTRICT,
01,001,2,
01,003,1,
01,005,2,
01,007,6,
01,009,4,
01,009,6,
01,011,2,
01,013,2,
01,015,3,
01,017,3,
01,019,3,
01,019,4,
01,021,6,
01,023,7,
01,025,1,
01,025,7,
01,027,3,
01,029,3,
01,031,2,
01,033,4,
01,035,2,
01,037,6,
01,039,2,
01,041,2,
01,043,4,
01,045,2,
01,047,7,
01,049,4,
01,051,2,
01,053,1,
01,055,4,
01,057,4,
01,059,4,
01,061,2,
01,063,7,
01,065,7,
01,067,2,
01,069,2,
01,071,4,
01,071,5,
01,073,6,
01,073,7,
01,075,4,
01,077,5,
01,079,4,
01,081,3,
01,083,5,
01,085,7,
01,087,3,
01,089,5,
01,091,7,
01,093,4,
01,095,4,
01,097,1,
01,099,1,
01,101,2,
01,101,3,
01,101,7,
01,103,5,
01,105,7,
01,107,7,
01,109,2,
01,111,3,
01,113,3,
01,115,3,
01,117,6,
01,119,7,
01,121,3,
01,123,3,
01,125,4,
01,125,7,
01,127,4,
01,129,1,
01,131,7,
01,133,4,
04,001,1,
04,003,2,
04,005,1,
04,007,1,
04,007,4,
04,009,1,
04,011,1,
04,012,4,
04,013,1,
04,013,3,
04,013,4,
04,013,5,
04,013,6,
04,013,7,
04,013,8,
04,013,9,
04,015,1,
04,015,4,
04,017,1,
04,019,1,
04,019,2,
04,019,3,
04,021,1,
04,021,3,
04,021,4,
04,023,3,
04,025,1,
04,025,4,
04,027,3,
04,027,4,
05,001,1,
05,003,4,
05,005,1,
05,007,3,
05,009,3,
05,011,4,
05,013,4,
05,015,3,
05,017,1,
05,019,4,
05,021,1,
05,023,1,
05,025,4,
05,027,4,
05,029,2,
05,031,1,
05,033,3,
05,033,4,
05,035,1,
05,037,1,
05,039,4,
05,041,1,
05,043,4,
05,045,2,
05,047,4,
05,049,1,
05,051,4,
05,053,4,
05,055,1,
05,057,4,
05,059,4,
05,061,4,
05,063,1,
05,065,1,
05,067,1,
05,069,1,
05,069,4,
05,071,4,
05,073,4,
05,075,1,
05,077,1,
05,079,1,
05,081,4,
05,083,4,
05,085,1,
05,087,4,
05,089,3,
05,091,4,
05,093,1,
05,095,1,
05,097,4,
05,099,4,
05,101,3,
05,101,4,
05,103,4,
05,105,2,
05,107,1,
05,109,4,
05,111,1,
05,113,4,
05,115,3,
05,117,1,
05,119,2,
05,121,1,
05,123,1,
05,125,2,
05,127,4,
05,129,1,
05,129,3,
05,131,3,
05,131,4,
05,133,4,
05,135,1,
05,137,1,
05,139,4,
05,141,2,
05,143,3,
05,145,2,
05,147,1,
05,149,4,
06,001,13,
06,001,15,
06,001,17,
06,003,4,
06,005,4,
06,007,1,
06,009,4,
06,011,3,
06,013,5,
